央视,#genre#
新疆卫视,http://ivi.bupt.edu.cn/hls/xjtv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225901/1.m3u8#http://live.hcs.cmvideo.cn:8088/wd-xinjiangwssd-600/index.m3u8?ProgramID=&encrypt=#http://112.17.40.140/PLTV/88888888/224/3221226124/index.m3u8
兵团卫视,http://ivi.bupt.edu.cn/hls/bttv.m3u8#http://live.hcs.cmvideo.cn:8088/envivo_w/2018/SD/bttv/1000/index.m3u8?ProgramID=&encrypt=#http://112.50.243.8/PLTV/88888888/224/3221226950/1.m3u8
青海卫视,http://ivi.bupt.edu.cn/hls/qhtv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225893/1.m3u8#http://live.hcs.cmvideo.cn:8088/envivo_w/2018/SD/qinghai/1000/index.m3u8?ProgramID=&encrypt=
西藏卫视,http://ivi.bupt.edu.cn/hls/xztv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225900/1.m3u8#http://live.hcs.cmvideo.cn:8088/envivo_x/2018/SD/xizang/1000/index.m3u8?ProgramID=&encrypt=



中国教育,#genre#
CETV-1,http://ivi.bupt.edu.cn/hls/cetv1hd.m3u8#http://ivi.bupt.edu.cn/hls/cetv1.m3u8#http://live.hcs.cmvideo.cn:8088/wd_r3/cctv/cetv1hd/3000/index.m3u8?ProgramID=&encrypt=#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225905/1.m3u8#http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225723/1/index.m3u8?fmt=ts2hls
CETV-2,http://live.hcs.cmvideo.cn:8088/wd_r3/cnr/cetv2/600/index.m3u8?ProgramID=&encrypt=#http://cctvalih5ca.v.myalicdn.com/cstv/cetv2_2/index.m3u8
CETV-3,http://ivi.bupt.edu.cn/hls/cetv3.m3u8#http://live.hcs.cmvideo.cn:8088/wd_r3/cnr/cetv3/600/index.m3u8?ProgramID=&encrypt=#http://cctvalih5ca.v.myalicdn.com/cstv/cetv3_2/index.m3u8?_res_tag_=video
CETV-4,http://ivi.bupt.edu.cn/hls/cetv4.m3u8#http://live.hcs.cmvideo.cn:8088/wd_r3/cnr/cetv4/600/index.m3u8?ProgramID=&encrypt=#http://cctvalih5ca.v.myalicdn.com/cstv/cetv4_2/index.m3u8?_res_tag_=video
山东教育,http://ivi.bupt.edu.cn/hls/sdetv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226241/1.m3u8

央视付费,#genre#
兵器科技,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225676/1/index.m3u8?fmt=ts2hls
第一剧场,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225702/1/index.m3u8?fmt=ts2hls
风云剧场,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225700/1/index.m3u8?fmt=ts2hls
风云音乐,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225698/1/index.m3u8?fmt=ts2hls
风云足球,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225734/1/index.m3u8?fmt=ts2hls
高尔夫网球,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225674/1/index.m3u8?fmt=ts2hls
怀旧剧场,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225765/1/index.m3u8?fmt=ts2hls
女性时尚,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225699/1/index.m3u8?fmt=ts2hls
世界地理,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225733/1/index.m3u8?fmt=ts2hls
文化精品,http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225675/1/index.m3u8?fmt=ts2hls

CNC新华电视,#genre#
CNC中文,http://source07.v.news.cn/live/CNC_CN/playlist.m3u8
CNC英文,http://source07.v.news.cn/live/CNC_EN/playlist.m3u8

广东,#genre#
广东卫视,http://ivi.bupt.edu.cn/hls/gdhd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226238/1.m3u8$北京移动#http://117.169.124.37:6610/ysten-businessmobile/live/hdguangdongstv/yst.m3u8#https://wslizhi.gdtv.cn/live/gdws.m3u8#http://nat1.hk.pn:15501/gdtv.php?id=43
南方卫视,http://live.hcs.cmvideo.cn:8088/wd_r3/2018/nfmedia/nfws/1000/index.m3u8?ProgramID=&encrypt=$咪咕#https://nclive.grtn.cn/tvs2/sd/live.m3u8#http://nat1.hk.pn:15501/gdtv.php?id=51
深圳卫视,http://ivi.bupt.edu.cn/hls/szhd.m3u8$北邮高清#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226245/1.m3u8$北京移动#http://112.50.243.8/PLTV/88888888/224/3221225938/1.m3u8
广东综艺,https://nclive.grtn.cn/4K/sd/live.m3u8#http://nat1.hk.pn:15501/gdtv.php?id=16
广东珠江,https://nclive.grtn.cn/zjpd/sd/live.m3u8#http://nat1.hk.pn:15501/gdtv.php?id=44
